t,request_id,work_units,mem_mb
0,r0012,73,661
0,r0210,21,88
0,r0217,158,772
0,r0391,191,496
1,r0004,142,885
1,r0046,145,1454
1,r0062,68,1148
1,r0454,5,1134
2,r0081,13,733
2,r0453,2,1139
3,r0032,12,714
3,r0095,16,1030
3,r0206,82,252
3,r0247,37,1294
3,r0266,93,1184
4,r0020,33,1078
4,r0053,149,797
4,r0232,193,1374
4,r0358,102,1064
5,r0069,10,673
5,r0191,106,796
5,r0243,187,772
5,r0314,12,129
5,r0392,109,755
5,r0409,103,948
5,r0467,59,482
6,r0047,156,1067
6,r0090,33,912
6,r0127,40,372
6,r0128,173,217
6,r0296,75,836
6,r0348,172,1137
7,r0161,95,637
7,r0245,20,1424
7,r0275,32,1111
7,r0415,143,1261
8,r0067,163,1000
8,r0158,121,955
8,r0223,89,543
8,r0407,26,1331
9,r0040,114,757
9,r0141,81,1229
9,r0160,80,995
9,r0252,147,331
9,r0259,116,403
9,r0448,172,149
9,r0469,176,624
9,r0478,88,1289
10,r0108,24,934
10,r0147,102,685
10,r0168,130,1373
10,r0238,187,919
10,r0278,65,452
10,r0425,116,809
10,r0462,168,1380
10,r0465,128,938
10,r0484,69,365
11,r0054,76,719
11,r0162,158,1266
11,r0182,166,1423
11,r0268,17,683
11,r0463,104,826
11,r0491,153,1274
12,r0030,195,1347
12,r0031,114,390
12,r0077,176,802
12,r0174,143,1439
12,r0311,101,814
13,r0240,21,721
13,r0294,82,545
13,r0488,34,228
13,r0490,7,233
14,r0005,119,290
14,r0070,25,530
14,r0131,89,930
14,r0143,104,92
14,r0212,199,640
14,r0254,7,431
14,r0363,85,382
14,r0383,16,1171
15,r0111,106,774
15,r0213,13,538
15,r0373,120,678
16,r0001,74,947
16,r0082,145,470
16,r0088,4,783
16,r0293,195,808
17,r0010,18,615
17,r0051,161,248
17,r0071,100,979
17,r0185,40,208
17,r0351,2,1177
17,r0362,130,1008
17,r0377,123,363
18,r0086,34,1156
18,r0098,17,308
18,r0202,112,237
19,r0006,128,647
19,r0107,176,1021
19,r0189,42,420
19,r0211,141,1296
19,r0404,71,436
20,r0197,52,1288
20,r0201,70,970
20,r0263,183,1484
20,r0299,128,1104
20,r0352,105,1387
21,r0057,66,1036
21,r0144,159,992
21,r0242,177,959
21,r0276,42,710
21,r0281,152,1239
22,r0055,52,320
22,r0087,29,1403
22,r0334,118,1141
22,r0357,107,410
22,r0366,157,1358
22,r0416,161,1440
22,r0457,28,247
23,r0035,44,408
23,r0228,35,179
23,r0420,194,1151
24,r0009,154,1090
24,r0079,32,981
24,r0428,195,1253
24,r0431,190,290
25,r0230,11,696
25,r0265,36,534
25,r0313,155,1092
25,r0384,147,1149
25,r0441,85,521
26,r0285,197,1221
26,r0386,184,1244
27,r0080,165,1359
27,r0135,197,331
27,r0184,88,1045
27,r0302,150,1169
27,r0345,52,1153
27,r0380,196,556
27,r0410,194,165
28,r0060,174,1431
28,r0115,28,767
28,r0148,86,394
28,r0203,116,765
28,r0277,89,1112
28,r0401,1,96
28,r0421,77,1499
28,r0439,190,1308
29,r0029,192,235
29,r0065,121,101
29,r0084,85,352
29,r0104,106,744
29,r0349,14,255
30,r0028,162,1451
30,r0089,151,1160
30,r0192,114,1300
30,r0205,99,217
30,r0370,115,596
30,r0413,78,343
30,r0458,50,1319
31,r0008,117,1178
31,r0034,136,893
31,r0146,112,1256
31,r0169,182,946
31,r0337,72,1192
31,r0424,66,466
31,r0442,128,1177
31,r0494,147,1117
31,r0499,185,1330
32,r0038,118,572
32,r0050,174,1400
32,r0152,51,405
32,r0175,186,1394
32,r0198,14,1363
33,r0024,87,1326
33,r0256,181,963
33,r0324,168,1234
34,r0007,107,1038
34,r0295,116,557
34,r0496,127,348
35,r0075,9,1463
35,r0159,152,165
36,r0048,199,521
36,r0208,121,1475
36,r0304,138,66
36,r0308,19,841
36,r0343,183,211
36,r0354,83,634
37,r0033,92,817
37,r0045,6,1398
37,r0058,192,743
37,r0136,84,1407
37,r0365,146,1431
37,r0376,95,1308
37,r0411,60,1229
38,r0041,164,918
38,r0068,167,886
38,r0338,198,641
38,r0371,150,1359
38,r0473,42,1204
39,r0194,121,447
39,r0241,115,1284
39,r0300,128,97
39,r0487,114,787
40,r0106,171,572
40,r0261,171,761
40,r0271,165,201
40,r0471,5,474
40,r0486,93,268
41,r0016,49,1478
41,r0126,199,1212
41,r0157,161,697
41,r0385,134,954
42,r0021,26,951
42,r0225,35,140
42,r0234,70,304
42,r0315,122,1113
42,r0430,78,81
42,r0466,145,245
43,r0125,41,807
43,r0172,174,1274
43,r0226,165,408
43,r0291,156,344
43,r0312,143,798
44,r0121,2,421
44,r0340,144,610
44,r0399,31,415
44,r0477,14,250
45,r0044,148,655
45,r0049,57,1353
45,r0233,200,147
45,r0335,174,1444
45,r0459,69,862
46,r0056,136,1077
46,r0092,132,1265
46,r0145,23,944
46,r0183,5,792
46,r0246,132,1441
46,r0264,131,509
46,r0372,178,533
46,r0436,132,1068
47,r0063,173,1426
47,r0116,30,620
47,r0171,73,843
47,r0199,142,260
47,r0222,65,83
47,r0321,85,1429
47,r0438,81,1467
48,r0036,159,1449
48,r0064,164,810
48,r0100,153,1136
48,r0180,165,722
48,r0327,38,1444
48,r0397,115,823
